epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.338,0.85892,0.94512,1.08855,0.98662,1,0.99471,0.79779,0.74628,0.41645,0.94951,0.00199558,0.00199558,0.0820398
2,305.108,0.69409,0.41844,0.9697,0.97044,1,0.98889,0.81842,0.70083,0.38837,0.9353,0.00399533,0.00399533,0.0640396
3,456.375,0.71202,0.44437,0.98327,0.9634,0.99582,0.99351,0.821,0.68316,0.42061,0.92293,0.00599411,0.00599411,0.0460384
4,608.531,0.71917,0.47939,0.97688,0.99127,0.99163,0.99433,0.77884,0.83508,0.40554,0.99544,0.00799118,0.00799118,0.0280354
5,760.825,0.74577,0.47322,1.00111,0.986,1,0.99049,0.83281,0.6288,0.52517,0.91305,0.00998581,0.00998581,0.0100301
6,912.708,0.74143,0.4802,0.99576,0.98644,1,0.99437,0.76762,0.87402,0.42946,1.02683,0.00998474,0.00998474,0.00998474
7,1064.67,0.73405,0.47894,0.99171,0.97329,0.99582,0.99428,0.84291,0.62513,0.37749,0.91586,0.00997803,0.00997803,0.00997803
8,1216.5,0.73365,0.4353,0.98585,0.98369,1,0.99305,0.82862,0.71521,0.38301,0.93608,0.00997011,0.00997011,0.00997011
9,1368.32,0.7015,0.4282,0.97805,0.97938,1,0.99371,0.84146,0.64773,0.35674,0.91901,0.00996097,0.00996097,0.00996097
10,1520.07,0.69393,0.41225,0.98288,0.98616,0.99582,0.99175,0.85172,0.5817,0.33432,0.91368,0.00995062,0.00995062,0.00995062
11,1671.83,0.67201,0.40414,0.9684,0.99893,0.99163,0.995,0.87084,0.55423,0.32785,0.90467,0.00993906,0.00993906,0.00993906
12,1823.46,0.67569,0.39089,0.97508,0.98971,1,0.99462,0.84361,0.62744,0.35514,0.93591,0.00992629,0.00992629,0.00992629
13,1975.19,0.64348,0.37681,0.95875,0.99158,1,0.99471,0.87475,0.54728,0.28608,0.89893,0.00991232,0.00991232,0.00991232
14,2126.94,0.6484,0.36474,0.95894,0.99274,1,0.99437,0.86699,0.56514,0.28368,0.90952,0.00989715,0.00989715,0.00989715
15,2278.72,0.63663,0.3612,0.95761,0.99006,1,0.99324,0.86088,0.5899,0.29939,0.91539,0.00988079,0.00988079,0.00988079
16,2430.58,0.61568,0.3644,0.95277,0.99437,1,0.99454,0.86894,0.54893,0.28943,0.90601,0.00986323,0.00986323,0.00986323
17,2582.4,0.63382,0.36149,0.95848,0.99137,1,0.99307,0.88194,0.52814,0.2689,0.89149,0.00984449,0.00984449,0.00984449
18,2734.22,0.61598,0.35344,0.9421,0.99032,1,0.99406,0.86506,0.57198,0.28424,0.90933,0.00982456,0.00982456,0.00982456
