epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.072,0.80958,0.54986,1.0091,0.98423,0.99163,0.99149,0.83311,0.68298,0.44549,0.95886,0.000166298,0.000166298,0.0669067
2,315.781,0.71779,0.44548,0.98231,0.97116,1,0.99132,0.82604,0.66933,0.36586,0.9406,0.000332928,0.000332928,0.03374
3,471.11,0.68624,0.4167,0.97222,0.99564,1,0.99496,0.83884,0.61303,0.3467,0.92713,0.000499414,0.000499414,0.000573161
4,622.348,0.66218,0.40875,0.95295,0.99128,1,0.99479,0.82826,0.71535,0.37448,0.96431,0.000499512,0.000499512,0.000499512
5,773.946,0.64751,0.37641,0.94834,0.99413,1,0.995,0.82681,0.69245,0.34874,0.97493,0.000499132,0.000499132,0.000499132
6,925.86,0.62203,0.36266,0.94645,0.97539,0.99479,0.99353,0.83402,0.6282,0.33621,0.94321,0.000498644,0.000498644,0.000498644
7,1077.97,0.63078,0.35432,0.94171,0.98686,1,0.99483,0.85342,0.6126,0.3136,0.91525,0.000498048,0.000498048,0.000498048
8,1229.47,0.63771,0.3547,0.94843,0.99834,0.99582,0.995,0.87763,0.51857,0.27696,0.88324,0.000497345,0.000497345,0.000497345
9,1380.77,0.60239,0.33795,0.9308,0.99107,1,0.99419,0.86255,0.56094,0.29575,0.90129,0.000496534,0.000496534,0.000496534
10,1532.15,0.6009,0.33921,0.93199,0.97073,1,0.99342,0.84522,0.63005,0.30389,0.92785,0.000495616,0.000495616,0.000495616
11,1683.18,0.59741,0.33946,0.93417,0.9976,1,0.995,0.88376,0.53396,0.29594,0.88902,0.000494592,0.000494592,0.000494592
12,1834.29,0.61398,0.33641,0.93716,0.9875,1,0.99335,0.86854,0.53922,0.27577,0.89166,0.000493461,0.000493461,0.000493461
13,1985.36,0.5936,0.33152,0.92593,0.98292,1,0.99475,0.84752,0.59593,0.29805,0.9118,0.000492224,0.000492224,0.000492224
14,2136.58,0.59034,0.33252,0.92668,0.99531,1,0.99429,0.8691,0.53875,0.2775,0.8894,0.000490883,0.000490883,0.000490883
15,2287.61,0.55749,0.31818,0.91589,0.99305,1,0.99487,0.86333,0.59143,0.3058,0.90745,0.000489437,0.000489437,0.000489437
16,2438.8,0.55516,0.31789,0.91186,0.99118,1,0.99184,0.86576,0.55061,0.28108,0.88769,0.000487886,0.000487886,0.000487886
17,2589.97,0.56282,0.31892,0.91565,0.99185,1,0.99421,0.88473,0.50423,0.2763,0.87456,0.000486233,0.000486233,0.000486233
18,2741.39,0.55818,0.31293,0.90757,0.98648,1,0.99445,0.88583,0.50549,0.25765,0.88052,0.000484477,0.000484477,0.000484477
19,2892.3,0.56025,0.31259,0.91852,0.99758,1,0.995,0.89074,0.50261,0.25776,0.87492,0.00048262,0.00048262,0.00048262
20,3043.4,0.54689,0.30626,0.90624,0.99528,1,0.995,0.88276,0.53607,0.25492,0.89248,0.000480661,0.000480661,0.000480661
21,3194.35,0.54755,0.3025,0.90565,0.99543,0.99582,0.99496,0.87742,0.53119,0.25685,0.88791,0.000478603,0.000478603,0.000478603
22,3345.51,0.55041,0.31017,0.90914,0.99879,1,0.995,0.883,0.51832,0.26448,0.88396,0.000476445,0.000476445,0.000476445
23,3496.76,0.55771,0.30625,0.91681,0.99164,1,0.99492,0.85607,0.58068,0.26244,0.92311,0.000474189,0.000474189,0.000474189
24,3648.16,0.54894,0.2944,0.91207,0.997,1,0.995,0.88069,0.52518,0.25395,0.8765,0.000471835,0.000471835,0.000471835
